variables = time, rho_avg, Cd, Cl

13000	  0.9995	  1.7006	 -1.2855
13100	  0.9995	  1.5901	 -0.9482
13200	  0.9995	  1.3977	 -0.4350
13300	  0.9995	  1.2808	  0.2585
13400	  0.9995	  1.4438	  0.9866
13500	  0.9995	  1.6689	  1.3338
13600	  0.9995	  1.7356	  1.3027
13700	  0.9995	  1.6069	  1.0167
13800	  0.9995	  1.3836	  0.5020
13900	  0.9995	  1.2637	 -0.2520
14000	  0.9995	  1.4455	 -0.9583
14100	  0.9995	  1.6742	 -1.2674
14200	  0.9995	  1.7291	 -1.2550
14300	  0.9995	  1.6095	 -0.9973
14400	  0.9995	  1.4006	 -0.4937
14500	  0.9995	  1.2601	  0.2756
14600	  0.9995	  1.4696	  1.0533
14700	  0.9995	  1.6859	  1.3803
14800	  0.9995	  1.6969	  1.3309
14900	  0.9995	  1.5998	  1.0052
15000	  0.9995	  1.4095	  0.4862
15100	  0.9995	  1.2828	 -0.1941
15200	  0.9995	  1.4428	 -0.9579
15300	  0.9995	  1.6867	 -1.3466
15400	  0.9995	  1.6874	 -1.3508
15500	  0.9995	  1.5896	 -0.9828
15600	  0.9995	  1.4067	 -0.4057
15700	  0.9995	  1.2941	  0.3238
15800	  0.9995	  1.4458	  1.0298
15900	  0.9995	  1.6874	  1.3490
16000	  0.9995	  1.6845	  1.3409
16100	  0.9995	  1.5644	  1.0164
16200	  0.9995	  1.3912	  0.4917
16300	  0.9995	  1.2984	 -0.2619
16400	  0.9995	  1.4375	 -1.0305
16500	  0.9995	  1.6560	 -1.3985
16600	  0.9995	  1.6985	 -1.2846
16700	  0.9995	  1.5906	 -0.9674
16800	  0.9995	  1.3830	 -0.4626
16900	  0.9995	  1.2892	  0.2685
17000	  0.9995	  1.4707	  1.0061
17100	  0.9995	  1.6844	  1.4226
17200	  0.9995	  1.6893	  1.4168
17300	  0.9995	  1.5835	  0.9955
17400	  0.9995	  1.3892	  0.4301
17500	  0.9995	  1.2886	 -0.2536
17600	  0.9995	  1.4486	 -0.9579
17700	  0.9995	  1.6746	 -1.3204
17800	  0.9995	  1.7114	 -1.3444
17900	  0.9995	  1.5777	 -1.0366
18000	  0.9995	  1.3870	 -0.4442
18100	  0.9995	  1.2919	  0.3131
18200	  0.9995	  1.4545	  1.0167
18300	  0.9995	  1.6903	  1.3441
18400	  0.9995	  1.7093	  1.3730
18500	  0.9995	  1.5903	  1.0206
18600	  0.9995	  1.3926	  0.5220
18700	  0.9995	  1.2760	 -0.1909
18800	  0.9995	  1.4534	 -0.9508
18900	  0.9995	  1.6955	 -1.3280
19000	  0.9995	  1.7070	 -1.3515
19100	  0.9995	  1.5802	 -1.0253
19200	  0.9995	  1.3986	 -0.4406
19300	  0.9995	  1.2865	  0.2794
19400	  0.9995	  1.4576	  0.9660
19500	  0.9995	  1.6997	  1.3244
19600	  0.9995	  1.7201	  1.3701
19700	  0.9995	  1.5874	  1.0629
